#Note: Ir93a has been added manually (via blat) to this annotation (haven't actually checked for frameshifts or ptcs there, just assumed zero)
#gene	isoform	chr	start	end	strand	numCodons	numFrameshifts	numPremStop
FBgn0025634	FBtr0070121	X	450185	451818	+	408	0	0
FBgn0025638	FBtr0273184	X	452771	454137	+	135	1	1
FBgn0025639	FBtr0070151	X	454022	461553	-	1300	0	0
FBgn0025637	FBtr0070124	X	461582	463430	+	162	0	0
FBgn0029531	FBtr0070150	X	556958	559014	-	322	2	0
FBgn0029532	FBtr0070149	X	559724	561358	-	478	0	0
FBgn0040383	FBtr0070134	X	563841	566552	+	306	0	0
FBgn0040382	FBtr0070137	X	567396	569762	+	469	0	0
FBgn0015288	FBtr0070148	X	570389	573042	-	299	1	0
FBgn0027343	FBtr0112928	X	578190	591635	+	646	0	0
FBgn0086368	FBtr0070139	X	593090	596376	+	765	0	0
FBgn0025620	FBtr0070147	X	596202	598400	-	421	0	0
FBgn0025621	FBtr0070140	X	601507	604723	+	940	0	0
FBgn0015799	FBtr0070146	X	605437	609758	-	845	0	0
FBgn0026874	FBtr0305568	X	611723	615655	-	301	0	0
FBgn0260855	FBtr0070141	X	614444	616558	+	211	0	0
FBgn0040343	FBtr0070195	X	641788	642307	-	83	0	0
FBgn0040341	FBtr0070163	X	670658	671423	+	254	0	0
FBgn0029538	FBtr0070193	X	685445	701209	-	402	0	0
FBgn0029539	FBtr0070164	X	688594	689283	+	152	0	0
FBgn0040344	FBtr0070191	X	717204	721649	-	975	0	0
FBgn0040339	FBtr0070165	X	722645	723362	+	143	0	0
FBgn0040345	FBtr0070190	X	723300	725325	-	375	0	0
FBgn0040342	FBtr0070189	X	725418	727279	-	444	0	0
FBgn0052815	FBtr0070166	X	727074	729387	+	507	0	3
FBgn0040340	FBtr0070167	X	729857	732446	+	368	0	0
FBgn0040346	FBtr0070188	X	733758	735386	-	382	0	0
FBgn0040347	FBtr0070170	X	735644	737780	+	426	0	0
FBgn0040348	FBtr0070187	X	737046	740263	-	711	0	0
FBgn0040349	FBtr0070186	X	741154	741999	-	251	0	0
FBgn0040350	FBtr0070185	X	743790	746403	-	558	0	0
FBgn0029552	FBtr0070172	X	808490	809065	+	132	0	0
FBgn0003638	FBtr0070176	X	809472	835899	+	963	0	0
FBgn0040351	FBtr0070183	X	809855	821697	-	387	0	0
FBgn0040337	FBtr0070173	X	823735	825518	+	389	0	0
FBgn0026143	FBtr0070182	X	825518	827790	-	575	0	0
FBgn0053082	FBtr0070174	X	828061	828915	+	183	0	1
FBgn0014903	FBtr0070175	X	828810	830519	+	406	0	0
FBgn0259144	FBtr0299571	X	836048	836858	+	92	0	0
FBgn0040398	FBtr0070179	X	841021	842120	+	319	0	0
FBgn0040368	FBtr0070252	X	941126	944927	-	429	0	0
FBgn0040364	FBtr0070197	X	954820	956132	+	312	0	0
FBgn0040363	FBtr0070251	X	957318	959477	-	588	0	0
FBgn0040362	FBtr0070198	X	963792	964575	+	201	0	0
FBgn0040361	FBtr0070199	X	965271	966957	+	270	0	0
FBgn0040360	FBtr0070200	X	968388	972243	+	342	0	0
FBgn0040359	FBtr0070201	X	975108	980203	+	569	0	0
FBgn0040358	FBtr0070202	X	983142	986501	+	756	1	0
FBgn0029568	FBtr0070203	X	987349	988999	+	436	0	0
FBgn0040357	FBtr0070204	X	990326	990974	+	230	0	0
FBgn0040367	FBtr0070205	X	993739	995362	+	505	0	0
FBgn0040366	FBtr0070250	X	997135	998803	-	329	0	0
FBgn0261444	FBtr0301968	X	1000717	1020194	-	1423	0	0
FBgn0026876	FBtr0070245	X	1020419	1023374	-	861	0	0
FBgn0025642	FBtr0070206	X	1070727	1072431	+	225	0	0
FBgn0025641	FBtr0303264	X	1073011	1105522	-	1463	0	0
FBgn0004650	FBtr0070207	X	1105657	1112657	+	2118	0	0
FBgn0024366	FBtr0070238	X	1112733	1116916	-	1279	0	0
FBgn0024362	FBtr0070210	X	1125434	1128107	+	402	1	0
FBgn0024360	FBtr0070236	X	1128208	1132684	-	612	0	0
FBgn0024361	FBtr0070211	X	1129883	1131469	+	244	0	0
FBgn0024365	FBtr0070235	X	1133210	1137283	-	712	0	0
FBgn0024364	FBtr0070212	X	1137352	1139790	+	771	0	0
FBgn0000826	FBtr0070234	X	1139797	1140923	-	291	0	0
FBgn0029573	FBtr0070213	X	1142442	1143342	+	151	0	0
FBgn0024987	FBtr0070215	X	1143679	1147782	+	443	0	0
FBgn0023169	FBtr0070217	X	1148638	1152008	+	582	0	0
FBgn0024986	FBtr0070233	X	1151861	1153641	-	160	0	0
FBgn0052813	FBtr0290070	X	1154058	1166015	+	665	3	1
FBgn0024985	FBtr0070225	X	1166228	1170569	+	443	0	0
FBgn0259108	FBtr0112628	X	1187266	1225018	+	5495	0	1
FBgn0027796	FBtr0300224	X	1226520	1227921	+	428	1	1
FBgn0027793	FBtr0070298	X	1234470	1235331	-	260	0	0
FBgn0028274	FBtr0070297	X	1235640	1237908	-	606	0	0
FBgn0027791	FBtr0070296	X	1238030	1240490	-	490	1	0
FBgn0026872	FBtr0070253	X	1240791	1242751	+	196	0	0
FBgn0029580	FBtr0070254	X	1241552	1244664	+	186	0	0
FBgn0052808	FBtr0070295	X	1242788	1243706	-	284	0	0
FBgn0013720	FBtr0070255	X	1244725	1246370	+	256	0	0
FBgn0025383	FBtr0070257	X	1246578	1247784	+	302	0	0
FBgn0025382	FBtr0070293	X	1247932	1251086	-	236	5	3
FBgn0260986	FBtr0070258	X	1251248	1252642	+	325	0	0
FBgn0025381	FBtr0070259	X	1252711	1255668	+	316	0	2
FBgn0003517	FBtr0070291	X	1255931	1257554	-	313	0	0
FBgn0053513	FBtr0070288	X	1260367	1282122	-	1083	0	0
FBgn0029584	FBtr0305287	X	1413645	1414388	+	117	1	0
FBgn0000482	FBtr0070269	X	1426342	1429734	+	1002	0	0
FBgn0023530	FBtr0070283	X	1429279	1430559	-	140	0	0
FBgn0001189	FBtr0070270	X	1430873	1434526	+	611	0	0
FBgn0023531	FBtr0089815	X	1436480	1453997	-	1234	0	0
FBgn0029587	FBtr0273400	X	1445156	1445868	+	196	0	0
FBgn0024897	FBtr0070272	X	1448069	1451635	+	558	0	0
FBgn0029588	FBtr0089694	X	1454293	1455288	+	160	2	0
FBgn0023130	FBtr0070279	X	1455071	1457465	-	409	4	0
FBgn0025378	FBtr0070278	X	1470017	1471240	-	305	0	0
FBgn0025391	FBtr0302175	X	1498041	1505793	-	404	0	0
FBgn0026086	FBtr0305498	X	1525212	1540234	+	634	0	0
FBgn0261548	FBtr0302658	X	1576744	1604252	+	852	0	0
FBgn0026090	FBtr0070372	X	1609203	1610218	-	100	0	0
FBgn0028969	FBtr0070371	X	1610396	1613119	-	532	0	0
FBgn0023515	FBtr0070369	X	1613079	1617159	-	1052	0	0
FBgn0026873	FBtr0070308	X	1617232	1618215	+	217	0	0
FBgn0023516	FBtr0070367	X	1618159	1620467	-	614	0	1
FBgn0023513	FBtr0070310	X	1620190	1623755	+	1102	0	0
FBgn0023517	FBtr0070366	X	1623804	1624940	-	289	0	0
FBgn0014411	FBtr0070311	X	1625264	1627858	+	478	0	0
FBgn0026089	FBtr0070365	X	1628081	1628576	-	106	0	0
FBgn0023514	FBtr0070312	X	1628696	1630482	+	506	0	0
FBgn0026088	FBtr0070364	X	1630412	1630983	-	96	0	0
FBgn0029594	FBtr0070313	X	1631722	1632869	+	176	0	0
FBgn0023518	FBtr0070363	X	1632741	1641417	-	2431	0	0
FBgn0000117	FBtr0089989	X	1643037	1652318	-	843	0	0
FBgn0052803	FBtr0070356	X	1652371	1653647	-	213	0	0
FBgn0052801	FBtr0070355	X	1653849	1654485	-	158	0	0
FBgn0023511	FBtr0070352	X	1655414	1660797	-	982	0	0
FBgn0023509	FBtr0070315	X	1660183	1672283	+	986	0	0
FBgn0023510	FBtr0070316	X	1660900	1668151	+	1525	0	0
FBgn0023512	FBtr0070351	X	1672121	1674875	-	669	0	0
FBgn0023508	FBtr0070317	X	1674996	1679399	+	850	0	0
FBgn0023522	FBtr0070318	X	1679563	1682385	+	456	0	0
FBgn0023520	FBtr0070349	X	1682454	1684346	-	487	0	0
FBgn0023521	FBtr0070321	X	1684573	1685882	+	299	0	0
FBgn0023545	FBtr0070347	X	1743972	1745407	-	355	0	0
FBgn0261954	FBtr0070326	X	1748155	1758878	+	2301	0	0
FBgn0000667	FBtr0070345	X	1761155	1778456	-	917	0	0
FBgn0003964	FBtr0070346	X	1774951	1777457	-	508	0	0
FBgn0025631	FBtr0303043	X	1780414	1785821	-	670	0	0
FBgn0025632	FBtr0070327	X	1788797	1791582	+	572	0	0
FBgn0025625	FBtr0070340	X	1791484	1798100	-	1398	0	0
FBgn0025626	FBtr0070339	X	1798497	1801319	-	696	0	0
FBgn0029596	FBtr0070338	X	1801465	1802546	-	205	0	0
FBgn0025628	FBtr0300255	X	1802621	1809672	-	593	0	0
FBgn0025627	FBtr0070328	X	1804794	1805893	+	264	0	0
FBgn0025630	FBtr0070330	X	1808629	1811084	+	361	0	0
FBgn0025629	FBtr0070331	X	1810988	1812088	-	256	0	0
FBgn0025624	FBtr0070375	X	1813126	1814589	+	246	0	0
FBgn0040394	FBtr0070434	X	1814479	1816503	-	560	0	0
FBgn0040395	FBtr0070376	X	1816727	1829012	+	474	0	0
FBgn0000382	FBtr0070379	X	1830187	1849626	+	945	0	0
FBgn0004860	FBtr0070433	X	1852725	1864819	-	1537	13	0
FBgn0004861	FBtr0070432	X	1858927	1868777	-	1589	0	0
FBgn0023507	FBtr0070383	X	1873358	1876818	+	533	2	0
FBgn0004654	FBtr0070384	X	1877022	1880411	+	481	0	0
FBgn0013432	FBtr0070431	X	1880290	1881444	-	92	0	0
FBgn0004655	FBtr0070429	X	1881933	1890811	-	1741	1	0
FBgn0005670	FBtr0070428	X	1890977	1893992	-	512	0	0
FBgn0023540	FBtr0070385	X	1898700	1904121	+	371	0	0
FBgn0025839	FBtr0070386	X	1904406	1905013	+	103	0	0
FBgn0023541	FBtr0070426	X	1905133	1907024	-	507	0	0
FBgn0011576	FBtr0070387	X	1908684	1910859	+	501	0	0
FBgn0015036	FBtr0070388	X	1910669	1912784	+	496	0	0
FBgn0003116	FBtr0070389	X	1912884	1914731	+	405	0	0
FBgn0023542	FBtr0070425	X	1914623	1916452	-	521	0	0
FBgn0040899	FBtr0070390	X	1916738	1917060	+	70	0	0
FBgn0040900	FBtr0290085	X	1918653	1919262	+	110	1	0
FBgn0024984	FBtr0070392	X	1919709	1920689	+	192	0	0
FBgn0023550	FBtr0070423	X	1933702	1935742	-	504	0	1
FBgn0004397	FBtr0070420	X	1945950	1954105	-	961	0	1
FBgn0029606	FBtr0070394	X	1955475	1956292	+	186	0	0
FBgn0003048	FBtr0070395	X	1957348	1969695	+	3433	0	0
FBgn0001330	FBtr0070419	X	1969561	1973666	-	1192	0	0
FBgn0000810	FBtr0070396	X	1973757	1977715	+	463	0	0
FBgn0023523	FBtr0070397	X	1977887	1979162	+	397	0	0
FBgn0000377	FBtr0070418	X	1979202	1981734	-	702	0	0
FBgn0023525	FBtr0070417	X	1981876	1983689	-	309	0	0
FBgn0029608	FBtr0070416	X	1984034	1985833	-	303	0	0
FBgn0023524	FBtr0070415	X	1986076	1991470	-	743	0	0
FBgn0027296	FBtr0070414	X	1991884	1994145	-	398	0	0
FBgn0023527	FBtr0070398	X	1994441	1996449	+	535	0	0
FBgn0023528	FBtr0070412	X	1996614	2002363	-	397	0	0
FBgn0023529	FBtr0070411	X	2002900	2006698	-	923	0	0
FBgn0085362	FBtr0112535	X	2007608	2009226	+	578	0	0
FBgn0040391	FBtr0070399	X	2050152	2051944	+	491	0	0
FBgn0044047	FBtr0070406	X	2054436	2057541	-	107	0	0
FBgn0003079	FBtr0111025	X	2062872	2066585	+	782	3	0
FBgn0040389	FBtr0070405	X	2066719	2067360	-	161	0	0
FBgn0003159	FBtr0070403	X	2067823	2076919	-	1234	1	0
FBgn0040390	FBtr0300235	X	2091011	2098259	-	1590	2	1
FBgn0040387	FBtr0070463	X	2100604	2110125	-	1529	0	0
FBgn0040385	FBtr0070462	X	2123443	2124983	-	353	0	0
FBgn0001150	FBtr0070460	X	2135309	2137201	-	448	2	3
FBgn0003714	FBtr0070459	X	2150665	2152297	-	140	0	0
FBgn0040388	FBtr0114528	X	2152483	2178569	-	1110	0	0
FBgn0004050	FBtr0070435	X	2156089	2158840	+	575	0	0
FBgn0260753	FBtr0070436	X	2261188	2283445	+	669	0	0
FBgn0040377	FBtr0070450	X	2285635	2286677	-	249	0	0
FBgn0040376	FBtr0070437	X	2287384	2290192	+	228	0	0
FBgn0040375	FBtr0300707	X	2290114	2292132	-	240	0	0
FBgn0040066	FBtr0070438	X	2292398	2294333	+	361	0	0
FBgn0001404	FBtr0070439	X	2294889	2304828	+	457	0	0
FBgn0011606	FBtr0070448	X	2305015	2309915	-	1212	0	0
FBgn0004643	FBtr0070441	X	2310082	2312718	+	721	0	0
FBgn0011566	FBtr0070447	X	2312570	2314541	-	468	0	0
FBgn0029629	FBtr0070446	X	2315107	2316227	-	269	0	0
FBgn0040334	FBtr0070445	X	2317089	2318500	-	304	0	0
FBgn0040333	FBtr0300708	X	2320407	2323333	-	719	0	0
FBgn0261922	FBtr0070443	X	2323756	2332230	+	2178	1	1
FBgn0011276	FBtr0070506	X	2376567	2378096	-	376	0	0
FBgn0025838	FBtr0070505	X	2378320	2379237	-	235	0	0
FBgn0003068	FBtr0070477	X	2381755	2389052	+	1218	2	0
FBgn0000092	FBtr0070504	X	2389002	2390131	-	260	0	0
FBgn0024992	FBtr0070502	X	2390952	2394598	-	819	0	0
FBgn0024993	FBtr0070478	X	2395086	2397288	+	446	0	0
FBgn0024994	FBtr0273276	X	2397490	2400050	-	368	0	0
FBgn0024996	FBtr0070479	X	2400842	2402478	+	352	0	0
FBgn0024995	FBtr0273279	X	2402411	2403692	-	305	0	0
FBgn0024997	FBtr0070480	X	2404986	2407926	+	626	0	0
FBgn0024998	FBtr0070499	X	2407991	2410289	-	552	0	0
FBgn0024991	FBtr0070481	X	2410407	2413947	+	825	0	0
FBgn0024973	FBtr0070498	X	2413921	2416591	-	735	0	0
FBgn0000928	FBtr0070484	X	2416729	2420395	+	1042	0	0
FBgn0000927	FBtr0070485	X	2420522	2422801	+	696	0	0
FBgn0024977	FBtr0070486	X	2422968	2423752	+	237	1	0
FBgn0000520	FBtr0070487	X	2423981	2426275	+	592	0	0
FBgn0250874	FBtr0070497	X	2426433	2428412	-	428	0	0
FBgn0024975	FBtr0070488	X	2428655	2430755	+	501	2	0
FBgn0000376	FBtr0070495	X	2430578	2435073	-	982	0	0
FBgn0024980	FBtr0070494	X	2435381	2439720	-	333	0	0
FBgn0003996	FBtr0070490	X	2485421	2492190	-	687	0	0
FBgn0040356	FBtr0070489	X	2505695	2506634	+	261	0	0
FBgn0040352	FBtr0070567	X	2551057	2551899	-	258	0	0
FBgn0040353	FBtr0070566	X	2554541	2555537	-	330	0	0
FBgn0040354	FBtr0070565	X	2561505	2562696	-	327	1	0
FBgn0029639	FBtr0070564	X	2564198	2564818	-	195	0	0
FBgn0040355	FBtr0070546	X	2569564	2572934	+	229	5	4
FBgn0025643	FBtr0301058	X	2598203	2602723	+	891	0	0
FBgn0025644	FBtr0070563	X	2604403	2605540	-	263	0	2
FBgn0052793	FBtr0070550	X	2608057	2610887	+	826	1	0
FBgn0029642	FBtr0070551	X	2613365	2614100	+	249	0	0
FBgn0029645	FBtr0070555	X	2621622	2622839	+	294	0	2
FBgn0029646	FBtr0070556	X	2623969	2625265	+	305	0	0
FBgn0029647	FBtr0070557	X	2625866	2626309	+	148	1	0
FBgn0029648	FBtr0070558	X	2626755	2627663	+	249	0	0
FBgn0003285	FBtr0070562	X	2631035	2652138	-	764	0	1
FBgn0029649	FBtr0070561	X	2743445	2744246	-	264	0	0
FBgn0004647	FBtr0070507	X	2802116	2838562	+	2703	0	0
FBgn0028746	FBtr0070543	X	2838764	2839315	-	99	0	0
FBgn0000644	FBtr0070542	X	2839512	2841661	-	282	1	0
FBgn0040396	FBtr0070508	X	2841188	2842288	+	135	0	0
FBgn0040393	FBtr0070541	X	2884321	2884832	-	119	0	0
FBgn0010295	FBtr0070539	X	2890571	2891149	-	146	1	0
FBgn0002933	FBtr0070523	X	2891476	2892004	+	107	0	0
FBgn0010294	FBtr0070540	X	2891477	2891896	+	112	0	0
FBgn0010296	FBtr0070538	X	2892995	2893230	-	57	0	0
FBgn0003086	FBtr0070537	X	2897624	2898284	-	172	0	0
FBgn0029656	FBtr0070536	X	2963175	2964828	-	479	0	0
FBgn0262656	FBtr0070525	X	3020895	3033578	+	717	1	0
FBgn0029658	FBtr0070532	X	3075996	3076821	-	190	0	0
FBgn0029659	FBtr0070531	X	3100172	3101416	-	200	0	0
FBgn0029662	FBtr0070528	X	3105611	3114300	-	582	0	0
FBgn0029663	FBtr0114487	X	3116557	3122129	-	726	0	0
FBgn0029664	FBtr0070568	X	3122769	3124358	+	436	0	0
FBgn0029665	FBtr0070590	X	3124397	3125168	-	191	0	0
FBgn0029666	FBtr0070569	X	3125436	3128799	+	637	1	0
FBgn0052791	FBtr0070588	X	3142693	3161518	-	554	0	0
FBgn0029669	FBtr0070572	X	3145575	3147320	+	110	0	0
FBgn0052792	FBtr0290004	X	3188125	3202092	+	581	0	0
FBgn0029672	FBtr0070586	X	3201823	3203710	-	497	0	0
FBgn0044046	FBtr0070577	X	3280347	3280988	+	159	0	0
FBgn0023216	FBtr0070585	X	3281004	3283841	-	768	0	0
FBgn0023215	FBtr0301821	X	3284073	3312929	+	790	0	0
FBgn0015286	FBtr0070583	X	3317323	3331377	-	201	0	0
FBgn0029676	FBtr0070598	X	3390952	3393440	+	377	0	0
FBgn0260484	FBtr0070600	X	3391026	3393444	+	377	0	0
FBgn0061173	FBtr0070602	X	3394240	3402701	+	360	1	0
FBgn0021738	FBtr0070599	X	3395910	3397397	+	114	2	0
FBgn0029679	FBtr0070605	X	3420944	3423511	+	649	0	0
FBgn0015565	FBtr0070631	X	3454875	3460239	-	743	0	0
FBgn0085365	FBtr0112538	X	3460981	3461781	-	85	1	0
FBgn0028491	FBtr0070610	X	3464368	3472024	+	810	0	0
FBgn0028665	FBtr0070611	X	3472444	3474754	+	350	0	0
FBgn0029681	FBtr0070612	X	3475948	3482039	+	493	0	0
FBgn0260658	FBtr0301099	X	3486510	3503855	-	1418	0	0
FBgn0029685	FBtr0070627	X	3524319	3528467	-	862	0	0
FBgn0029686	FBtr0070613	X	3528739	3538154	+	911	0	0
FBgn0029687	FBtr0070616	X	3538564	3543714	+	269	0	0
FBgn0029688	FBtr0070626	X	3545157	3554325	-	2779	0	0
FBgn0029689	FBtr0070625	X	3555012	3558121	-	631	0	0
FBgn0029690	FBtr0070624	X	3558505	3560855	-	583	0	0
FBgn0052790	FBtr0070621	X	3658373	3659758	+	432	0	0
FBgn0052778	FBtr0070622	X	3660651	3667384	+	942	0	0
FBgn0029692	FBtr0070623	X	3668618	3671254	+	402	0	0
FBgn0029693	FBtr0070671	X	3678258	3681343	-	788	0	0
FBgn0004832	FBtr0070670	X	3683777	3684962	-	296	0	0
FBgn0000221	FBtr0070638	X	3685107	3686562	+	325	0	0
FBgn0026079	FBtr0070669	X	3691980	3694521	-	746	0	0
FBgn0026085	FBtr0070642	X	3694945	3695656	+	188	0	0
FBgn0026080	FBtr0070668	X	3695586	3698216	-	541	0	0
FBgn0026083	FBtr0305182	X	3697799	3709642	+	1911	0	0
FBgn0066114	FBtr0070644	X	3711615	3713192	+	306	0	0
FBgn0029696	FBtr0070664	X	3810066	3810531	-	152	0	0
FBgn0029697	FBtr0070645	X	3811404	3816107	+	1357	0	0
FBgn0041252	FBtr0070663	X	3834396	3835202	-	201	0	0
FBgn0052774	FBtr0070662	X	3836575	3838040	-	483	0	0
FBgn0262608	FBtr0305282	X	3839600	3840057	+	82	0	0
FBgn0029701	FBtr0070646	X	3858694	3859384	+	150	0	0
FBgn0029702	FBtr0070647	X	3862766	3864961	+	485	0	0
FBgn0040904	FBtr0070660	X	3870491	3871011	-	99	0	0
FBgn0040906	FBtr0070657	X	3900080	3900485	-	94	0	0
FBgn0002707	FBtr0070656	X	3902847	3907045	-	961	0	1
FBgn0029704	FBtr0070648	X	3907058	3909448	+	653	5	3
FBgn0040907	FBtr0070655	X	3909455	3909865	-	64	0	0
FBgn0029705	FBtr0070654	X	3914765	3917257	-	425	1	0
FBgn0029706	FBtr0070652	X	3955339	3959708	+	939	0	0
FBgn0029707	FBtr0070653	X	3969703	3971621	+	135	1	0
FBgn0052773	FBtr0070703	X	3975848	3976261	-	117	1	0
FBgn0029708	FBtr0070674	X	4116817	4120363	+	595	0	0
FBgn0003210	FBtr0301530	X	4122114	4127069	-	1178	2	1
FBgn0029709	FBtr0070675	X	4127332	4128798	+	208	0	0
FBgn0029710	FBtr0070676	X	4129031	4130847	+	508	0	0
FBgn0029711	FBtr0070701	X	4131695	4135046	-	437	0	0
FBgn0029712	FBtr0070677	X	4135336	4136223	+	246	0	0
FBgn0029713	FBtr0070699	X	4136149	4138106	-	465	0	0
FBgn0029714	FBtr0070678	X	4138203	4139239	+	252	0	0
FBgn0029715	FBtr0070698	X	4139366	4140586	-	215	0	0
FBgn0029716	FBtr0070679	X	4144274	4146285	+	630	0	0
FBgn0003053	FBtr0070680	X	4203336	4212127	+	1894	8	3
FBgn0025387	FBtr0070696	X	4215331	4221202	-	981	0	0
FBgn0025388	FBtr0300755	X	4215339	4221283	-	1322	0	0
FBgn0025739	FBtr0070681	X	4221627	4224438	+	670	0	0
FBgn0025613	FBtr0070693	X	4224719	4226486	-	583	0	0
FBgn0025612	FBtr0070692	X	4226626	4230091	-	252	0	0
FBgn0029718	FBtr0070682	X	4233024	4233797	+	180	0	0
FBgn0025615	FBtr0070690	X	4233737	4234972	-	340	0	0
FBgn0022942	FBtr0070684	X	4235184	4243412	+	800	0	0
FBgn0029719	FBtr0070689	X	4237214	4239680	-	714	0	0
FBgn0029720	FBtr0300469	X	4243300	4251708	-	364	0	0
FBgn0262699	FBtr0070686	X	4252287	4264510	-	478	0	0
FBgn0022768	FBtr0070685	X	4265323	4271753	-	1427	0	0
FBgn0028325	FBtr0070711	X	4286751	4289653	+	443	0	0
FBgn0029722	FBtr0070712	X	4289851	4291952	+	479	0	0
FBgn0029723	FBtr0070713	X	4292363	4313179	+	545	0	0
FBgn0029724	FBtr0070736	X	4346128	4347025	-	301	2	0
FBgn0025679	FBtr0070735	X	4347479	4348441	-	311	0	0
FBgn0029726	FBtr0299602	X	4360051	4360618	-	128	0	0
FBgn0029727	FBtr0070715	X	4361996	4363436	+	479	0	0
FBgn0029729	FBtr0070716	X	4403614	4404399	+	237	0	0
FBgn0260971	FBtr0301750	X	4463871	4474382	+	1009	0	0
FBgn0029733	FBtr0070721	X	4475992	4477895	+	524	0	0
FBgn0052772	FBtr0300997	X	4478237	4484056	+	520	0	0
FBgn0029736	FBtr0300998	X	4484358	4487520	-	819	0	0
FBgn0029737	FBtr0070723	X	4487819	4490709	+	576	0	0
FBgn0004368	FBtr0301793	X	4498644	4514918	+	1767	0	0
FBgn0061196	FBtr0070727	X	4519398	4520444	-	290	0	0
FBgn0029740	FBtr0300018	X	4549137	4549785	+	215	0	0
FBgn0003028	FBtr0301914	X	4598723	4621076	+	1351	2	0
FBgn0052767	FBtr0302118	X	4624778	4634924	-	1281	0	1
FBgn0029745	FBtr0070741	X	4675829	4676860	+	324	0	0
FBgn0029747	FBtr0070759	X	4723910	4726092	-	581	0	0
FBgn0029748	FBtr0299590	X	4730635	4731195	+	122	3	0
FBgn0261803	FBtr0303279	X	4837488	4848196	+	345	0	0
FBgn0029750	FBtr0070758	X	4844905	4847619	-	749	0	0
FBgn0015617	FBtr0070756	X	4849425	4850899	-	353	0	0
FBgn0003449	FBtr0070748	X	4851230	4852820	+	216	0	0
FBgn0011761	FBtr0070749	X	4854974	4855708	+	107	0	0
FBgn0029755	FBtr0070751	X	4860315	4861925	+	428	0	0
FBgn0014024	FBtr0070752	X	4861888	4866138	-	941	3	0
FBgn0024332	FBtr0070762	X	4868314	4871306	+	819	0	0
FBgn0029756	FBtr0070798	X	4871245	4874118	-	634	0	0
FBgn0026751	FBtr0070763	X	4874429	4877048	+	614	0	0
FBgn0010014	FBtr0070764	X	4877359	4879075	+	170	0	0
FBgn0029762	FBtr0070797	X	4945540	4950966	-	641	0	0
FBgn0029764	FBtr0070795	X	4953874	4960853	-	607	0	0
FBgn0029763	FBtr0070773	X	4959493	4966047	+	1126	2	0
FBgn0029765	FBtr0070776	X	4966565	4967250	+	152	0	0
FBgn0029766	FBtr0070777	X	4969927	4971771	+	554	0	0
FBgn0029769	FBtr0070793	X	5031006	5032991	-	560	0	0
FBgn0052762	FBtr0070791	X	5037129	5037974	-	200	1	0
FBgn0029770	FBtr0070779	X	5038646	5039392	+	182	0	0
